ONA_1:input 1/mode 1/transmission: Abs(TE transmission) vs wavelength

wavelength(nm), Abs(TE transmission)
1559.69, 0.237547
1559.69, 0.237497
1559.69, 0.237448
1559.69, 0.237398
1559.69, 0.237349
1559.69, 0.2373
1559.69, 0.23725
1559.69, 0.237201
1559.69, 0.237152
1559.69, 0.237102
1559.69, 0.237053
1559.69, 0.237004
1559.69, 0.236955
1559.69, 0.236905
1559.69, 0.236856
1559.69, 0.236807
1559.69, 0.236758
1559.69, 0.236709
1559.69, 0.23666
1559.69, 0.236611
1559.69, 0.236562
1559.69, 0.236513
1559.68, 0.236464
1559.68, 0.236415
1559.68, 0.236366
1559.68, 0.236318
1559.68, 0.236269
1559.68, 0.23622
1559.68, 0.236171
1559.68, 0.236122
1559.68, 0.236074
1559.68, 0.236025
1559.68, 0.235976
1559.68, 0.235928
1559.68, 0.235879
1559.68, 0.235831
1559.68, 0.235782
1559.68, 0.235734
1559.68, 0.235685
1559.68, 0.235637
1559.68, 0.235588
1559.68, 0.23554
1559.68, 0.235491
1559.68, 0.235443
1559.68, 0.235395
1559.68, 0.235346
1559.68, 0.235298
1559.67, 0.23525
1559.67, 0.235201
1559.67, 0.235153
1559.67, 0.235105
1559.67, 0.235057
1559.67, 0.235009
1559.67, 0.234961
1559.67, 0.234913
1559.67, 0.234864
1559.67, 0.234816
1559.67, 0.234768
1559.67, 0.23472
1559.67, 0.234673
1559.67, 0.234625
1559.67, 0.234577
1559.67, 0.234529
1559.67, 0.234481
1559.67, 0.234433
1559.67, 0.234385
1559.67, 0.234338
1559.67, 0.23429
1559.67, 0.234242
1559.67, 0.234194
1559.67, 0.234147
1559.67, 0.234099
1559.66, 0.234051
1559.66, 0.234004
1559.66, 0.233956
1559.66, 0.233909
1559.66, 0.233861
1559.66, 0.233814
1559.66, 0.233766
1559.66, 0.233719
1559.66, 0.233671
1559.66, 0.233624
1559.66, 0.233577
1559.66, 0.233529
1559.66, 0.233482
1559.66, 0.233435
1559.66, 0.233388
1559.66, 0.23334
1559.66, 0.233293
1559.66, 0.233246
1559.66, 0.233199
1559.66, 0.233152
1559.66, 0.233105
1559.66, 0.233057
1559.66, 0.23301
1559.66, 0.232963
1559.65, 0.232916
1559.65, 0.232869
1559.65, 0.232822
1559.65, 0.232776
1559.65, 0.232729
1559.65, 0.232682
1559.65, 0.232635
1559.65, 0.232588
1559.65, 0.232541
1559.65, 0.232494
1559.65, 0.232448
1559.65, 0.232401
1559.65, 0.232354
1559.65, 0.232308
1559.65, 0.232261
1559.65, 0.232214
1559.65, 0.232168
1559.65, 0.232121
1559.65, 0.232075
1559.65, 0.232028
1559.65, 0.231982
1559.65, 0.231935
1559.65, 0.231889
1559.65, 0.231842
1559.65, 0.231796
1559.64, 0.231749
1559.64, 0.231703
1559.64, 0.231657
1559.64, 0.23161
1559.64, 0.231564
1559.64, 0.231518
1559.64, 0.231472
1559.64, 0.231426
1559.64, 0.231379
1559.64, 0.231333
1559.64, 0.231287
1559.64, 0.231241
1559.64, 0.231195
1559.64, 0.231149
1559.64, 0.231103
1559.64, 0.231057
1559.64, 0.231011
1559.64, 0.230965
1559.64, 0.230919
1559.64, 0.230873
1559.64, 0.230827
1559.64, 0.230781
1559.64, 0.230735
1559.64, 0.23069
1559.64, 0.230644
1559.63, 0.230598
1559.63, 0.230552
1559.63, 0.230507
1559.63, 0.230461
1559.63, 0.230415
1559.63, 0.23037
1559.63, 0.230324
1559.63, 0.230278
1559.63, 0.230233
1559.63, 0.230187
1559.63, 0.230142
1559.63, 0.230096
1559.63, 0.230051
1559.63, 0.230005
1559.63, 0.22996
1559.63, 0.229915
1559.63, 0.229869
1559.63, 0.229824
1559.63, 0.229779
1559.63, 0.229733
1559.63, 0.229688
1559.63, 0.229643
1559.63, 0.229598
1559.63, 0.229552
1559.62, 0.229507
1559.62, 0.229462
1559.62, 0.229417
1559.62, 0.229372
1559.62, 0.229327
1559.62, 0.229282
1559.62, 0.229237
1559.62, 0.229192
1559.62, 0.229147
1559.62, 0.229102
1559.62, 0.229057
1559.62, 0.229012
1559.62, 0.228967
1559.62, 0.228922
1559.62, 0.228877
1559.62, 0.228832
1559.62, 0.228788
1559.62, 0.228743
1559.62, 0.228698
1559.62, 0.228653
1559.62, 0.228609
1559.62, 0.228564
1559.62, 0.228519
1559.62, 0.228475
1559.62, 0.22843
1559.61, 0.228386
1559.61, 0.228341
1559.61, 0.228296
1559.61, 0.228252
1559.61, 0.228207
1559.61, 0.228163
1559.61, 0.228119
1559.61, 0.228074
1559.61, 0.22803
1559.61, 0.227985
1559.61, 0.227941
1559.61, 0.227897
1559.61, 0.227852
1559.61, 0.227808
1559.61, 0.227764
1559.61, 0.22772
1559.61, 0.227676
1559.61, 0.227631
1559.61, 0.227587
1559.61, 0.227543
1559.61, 0.227499
1559.61, 0.227455
1559.61, 0.227411
1559.61, 0.227367
1559.61, 0.227323
1559.6, 0.227279
1559.6, 0.227235
1559.6, 0.227191
1559.6, 0.227147
1559.6, 0.227103
1559.6, 0.227059
1559.6, 0.227015
1559.6, 0.226971
1559.6, 0.226928
1559.6, 0.226884
1559.6, 0.22684
1559.6, 0.226796
1559.6, 0.226753
1559.6, 0.226709
1559.6, 0.226665
1559.6, 0.226622
1559.6, 0.226578
1559.6, 0.226534
1559.6, 0.226491
1559.6, 0.226447
1559.6, 0.226404
1559.6, 0.22636
1559.6, 0.226317
1559.6, 0.226273
1559.6, 0.22623
1559.59, 0.226187
1559.59, 0.226143
1559.59, 0.2261
1559.59, 0.226056
1559.59, 0.226013
1559.59, 0.22597
1559.59, 0.225927
1559.59, 0.225883
1559.59, 0.22584
1559.59, 0.225797
1559.59, 0.225754
1559.59, 0.225711
1559.59, 0.225667
1559.59, 0.225624
1559.59, 0.225581
1559.59, 0.225538
1559.59, 0.225495
1559.59, 0.225452
1559.59, 0.225409
1559.59, 0.225366
1559.59, 0.225323
1559.59, 0.22528
1559.59, 0.225237
1559.59, 0.225194
